text,label,confidence,herb,symptom,topic
fundamentals of body type,general_info,1.0,,,body type
herbal medicine for chronic fatigue,disease_prediction,1.0,,chronic fatigue,
immunity tradition,general_info,1.0,,,immunity
how does vikriti work,general_info,1.0,,,vikriti
medicinal applications of shadbindu taila,herb_benefits,1.0,shadbindu taila,,
advantages of putikaranja,herb_benefits,1.0,putikaranja,,
information about arjunarishta,herb_benefits,1.0,arjunarishta,,
help with hearing problems,disease_prediction,1.0,,hearing problems,
alternative medicine for sinusitis,disease_prediction,1.0,,sinusitis,
medicinal effects of riddhi,herb_benefits,1.0,riddhi,,
immunity wisdom,general_info,1.0,,,immunity
role of virechana,general_info,1.0,,,virechana
how does prabhava work,general_info,1.0,,,prabhava
ojas principles,general_info,1.0,,,ojas
nutrition basics,general_info,1.0,,,nutrition
health advantages of haritaki,herb_benefits,1.0,haritaki,,
how can brihatyadi kashayam help,herb_benefits,1.0,brihatyadi kashayam,,
how to use karnikara,herb_benefits,1.0,karnikara,,
preventing psoriasis,disease_prediction,1.0,,psoriasis,
guide to prana,general_info,1.0,,,prana
sarpaksi for holistic health,herb_benefits,1.0,sarpaksi,,
natural healing art,general_info,1.0,,,natural healing
healing oily skin,disease_prediction,1.0,,oily skin,
medicinal properties of prapunnada,herb_benefits,1.0,prapunnada,,
principles of body type,general_info,1.0,,,body type
upodika for health improvement,herb_benefits,1.0,upodika,,
tell me about meda,herb_benefits,1.0,meda,,
healthy lifestyle science,general_info,1.0,,,healthy lifestyle
basics of gunas,general_info,1.0,,,gunas
prana knowledge,general_info,1.0,,,prana
advantages of kumbhika,herb_benefits,1.0,kumbhika,,
alternative medicine for psoriasis,disease_prediction,1.0,,psoriasis,
ayurvedic benefits of simhamoola,herb_benefits,1.0,simhamoola,,
tingling cure,disease_prediction,1.0,,tingling,
what is vrikshamla phala good for,herb_benefits,1.0,vrikshamla phala,,
karanja health effects,herb_benefits,1.0,karanja,,
mild chronic fatigue,disease_prediction,1.0,,chronic fatigue,
non-toxic remedy for wounds,disease_prediction,1.0,,wounds,
medicinal properties of jeerakarishtam,herb_benefits,1.0,jeerakarishtam,,
digestion viewpoint,general_info,1.0,,,digestion
panchamahabhutas viewpoint,general_info,1.0,,,panchamahabhutas
managing sprains,disease_prediction,1.0,,sprains,
why use ocimum,herb_benefits,1.0,ocimum,,
quick relief from anxiety,disease_prediction,1.0,,anxiety,
sudarshan churna in traditional medicine,herb_benefits,1.0,sudarshan churna,,
define prakriti,general_info,1.0,,,prakriti
persistent migraine,disease_prediction,1.0,,migraine,
guide to meditation,general_info,1.0,,,meditation
benefits and applications of guggulutiktakam ghritam,herb_benefits,1.0,guggulutiktakam ghritam,,
help with inflammation,disease_prediction,1.0,,inflammation,
importance of basti,general_info,1.0,,,basti
health properties of shatavari ksheera,herb_benefits,1.0,shatavari ksheera,,
quick relief from vomiting,disease_prediction,1.0,,vomiting,
understanding prakriti,general_info,1.0,,,prakriti
recurring strains,disease_prediction,1.0,,strains,
why use grinjana,herb_benefits,1.0,grinjana,,
therapeutic value of kovidara,herb_benefits,1.0,kovidara,,
diagnosis of tinnitus,disease_prediction,1.0,,tinnitus,
healthy lifestyle tradition,general_info,1.0,,,healthy lifestyle
healing fatigue,disease_prediction,1.0,,fatigue,
detoxification principles,general_info,1.0,,,detoxification
constant sore throat,disease_prediction,1.0,,sore throat,
advantages of ashoka ghrita,herb_benefits,1.0,ashoka ghrita,,
healing power of jivaka,herb_benefits,1.0,jivaka,,
back pain symptoms,disease_prediction,1.0,,back pain,
tell me about srotas,general_info,1.0,,,srotas
tell me about atasi,herb_benefits,1.0,atasi,,
therapeutic effects of kumbhika,herb_benefits,1.0,kumbhika,,
chronic fatigue treatment,disease_prediction,1.0,,chronic fatigue,
cure for numbness,disease_prediction,1.0,,numbness,
how to treat sinusitis,disease_prediction,1.0,,sinusitis,
what does phala ghrita do,herb_benefits,1.0,phala ghrita,,
healing oily skin,disease_prediction,1.0,,oily skin,
tell me about atasi,herb_benefits,1.0,atasi,,
what are the principles of dhatus,general_info,1.0,,,dhatus
healing restless legs,disease_prediction,1.0,,restless legs,
health properties of akarakarabha,herb_benefits,1.0,akarakarabha,,
origin of wellness,general_info,1.0,,,wellness
I'm experiencing sneezing,disease_prediction,1.0,,sneezing,
diagnosis of joint pain,disease_prediction,1.0,,joint pain,
therapeutic applications of narikela jala,herb_benefits,1.0,narikela jala,,
what makes vaikranta bhasma beneficial,herb_benefits,1.0,vaikranta bhasma,,
medicinal effects of riddhi,herb_benefits,1.0,riddhi,,
mastu wellness benefits,herb_benefits,1.0,mastu,,
azadirachta for natural healing,herb_benefits,1.0,azadirachta,,
how to use panchamrita parpati,herb_benefits,1.0,panchamrita parpati,,
origin of energy,general_info,1.0,,,energy
ayurvedic benefits of vetasa,herb_benefits,1.0,vetasa,,
bhringraj natural medicine,herb_benefits,1.0,bhringraj,,
karpooradi thailam for wellness,herb_benefits,1.0,karpooradi thailam,,
importance of virechana,general_info,1.0,,,virechana
medicinal value of utpala,herb_benefits,1.0,utpala,,
snoring cure,disease_prediction,1.0,,snoring,
advantages of putikaranja,herb_benefits,1.0,putikaranja,,
ama fundamentals,general_info,1.0,,,ama
treatments for sprains,disease_prediction,1.0,,sprains,
persistent cramps,disease_prediction,1.0,,cramps,
what is mahabala good for,herb_benefits,1.0,mahabala,,
symptoms of brain fog,disease_prediction,1.0,,brain fog,
vaikranta bhasma for health improvement,herb_benefits,1.0,vaikranta bhasma,,
mild sore throat,disease_prediction,1.0,,sore throat,
examining traditional medicine,general_info,1.0,,,traditional medicine
dealing with sore throat,disease_prediction,1.0,,sore throat,
applications of rasnasaptakam kashayam,herb_benefits,1.0,rasnasaptakam kashayam,,
intermittent stress,disease_prediction,1.0,,stress,
giloy satva benefits,herb_benefits,1.0,giloy satva,,
what's himasagara thailam good for,herb_benefits,1.0,himasagara thailam,,
cure for inflammation,disease_prediction,1.0,,inflammation,
discovering virya,general_info,1.0,,,virya
pippali moola therapeutic benefits,herb_benefits,1.0,pippali moola,,
prabhava methodology,general_info,1.0,,,prabhava
tell me about holistic health,general_info,1.0,,,holistic health
healing swelling,disease_prediction,1.0,,swelling,
explain circulation,general_info,1.0,,,circulation
medicine for hot flashes,disease_prediction,1.0,,hot flashes,
therapeutic value of neem,herb_benefits,1.0,neem,,
importance of srotas,general_info,1.0,,,srotas
ear pain cure,disease_prediction,1.0,,ear pain,
herbal properties of ajamodadi churna,herb_benefits,1.0,ajamodadi churna,,
diagnosis of depression,disease_prediction,1.0,,depression,
natural treatment for diarrhea,disease_prediction,1.0,,diarrhea,
researching dosha,general_info,1.0,,,dosha
traditional medicine science,general_info,1.0,,,traditional medicine
dealing with fever,disease_prediction,1.0,,fever,
ocimum natural medicine,herb_benefits,1.0,ocimum,,
herbal medicine for cough,disease_prediction,1.0,,cough,
permanent cure for sinusitis,disease_prediction,1.0,,sinusitis,
sudden low energy,disease_prediction,1.0,,low energy,
what causes sleep apnea,disease_prediction,1.0,,sleep apnea,
recurring muscle pain,disease_prediction,1.0,,muscle pain,
medicinal value of shatavari,herb_benefits,1.0,shatavari,,
why use sariva,herb_benefits,1.0,sariva,,
benefits and uses of masi,herb_benefits,1.0,masi,,
reducing vertigo,disease_prediction,1.0,,vertigo,
traditional medicine art,general_info,1.0,,,traditional medicine
discovering mind-body connection,general_info,1.0,,,mind-body connection
methi effects,herb_benefits,1.0,methi,,
ambasthaki for wellness,herb_benefits,1.0,ambasthaki,,
traditional uses of kasis bhasma,herb_benefits,1.0,kasis bhasma,,
intermittent skin rash,disease_prediction,1.0,,skin rash,
eranda properties,herb_benefits,1.0,eranda,,
properties of saraswatarishta,herb_benefits,1.0,saraswatarishta,,
introduction to rasa,general_info,1.0,,,rasa
principles of prana,general_info,1.0,,,prana
recurring mood swings,disease_prediction,1.0,,mood swings,
preventive medicine theory,general_info,1.0,,,preventive medicine
relief from acne,disease_prediction,1.0,,acne,
gunas principles,general_info,1.0,,,gunas
learn about preventive medicine,general_info,1.0,,,preventive medicine
safe treatment for stress,disease_prediction,1.0,,stress,
safe treatment for indigestion,disease_prediction,1.0,,indigestion,
medicine for chronic fatigue,disease_prediction,1.0,,chronic fatigue,
ayurvedic benefits of ghrita,herb_benefits,1.0,ghrita,,
pushkarmool in herbal medicine,herb_benefits,1.0,pushkarmool,,
herbal medicine for runny nose,disease_prediction,1.0,,runny nose,
philosophy of body type,general_info,1.0,,,body type
recovering from sleep disorders,disease_prediction,1.0,,sleep disorders,
ancient uses of ananta mool,herb_benefits,1.0,ananta mool,,
detoxification philosophy,general_info,1.0,,,detoxification
home remedy for constipation,disease_prediction,1.0,,constipation,
what is vasant kusumakar rasa good for,herb_benefits,1.0,vasant kusumakar rasa,,
learn about tejas,general_info,1.0,,,tejas
symptoms of bruising,disease_prediction,1.0,,bruising,
benefits of body type,general_info,1.0,,,body type
holistic treatment for joint pain,disease_prediction,1.0,,joint pain,
examining trimala,general_info,1.0,,,trimala
medicinal value of snuhi ksheera,herb_benefits,1.0,snuhi ksheera,,
medicinal properties of guloochyadi kashayam,herb_benefits,1.0,guloochyadi kashayam,,
nasya fundamentals,general_info,1.0,,,nasya
eczema treatment,disease_prediction,1.0,,eczema,
managing mood swings,disease_prediction,1.0,,mood swings,
herbal medicine for burning sensation,disease_prediction,1.0,,burning sensation,
information about prapunnada,herb_benefits,1.0,prapunnada,,
tell me about kumkumadi thailam,herb_benefits,1.0,kumkumadi thailam,,
what causes cramps,disease_prediction,1.0,,cramps,
ama approach,general_info,1.0,,,ama
tejas perspective,general_info,1.0,,,tejas
uses of varahikanda,herb_benefits,1.0,varahikanda,,
researching mind-body connection,general_info,1.0,,,mind-body connection
akika pishti therapeutic benefits,herb_benefits,1.0,akika pishti,,
why use ocimum,herb_benefits,1.0,ocimum,,
what is patola good for,herb_benefits,1.0,patola,,
balarishta for holistic health,herb_benefits,1.0,balarishta,,
researching meditation,general_info,1.0,,,meditation
virya tradition,general_info,1.0,,,virya
I have itching,disease_prediction,1.0,,itching,
learn about pitta,general_info,1.0,,,pitta
chopchini remedy uses,herb_benefits,1.0,chopchini,,
dhanyaka for health,herb_benefits,1.0,dhanyaka,,
therapeutic effects of mishreya,herb_benefits,1.0,mishreya,,
principles of yoga,general_info,1.0,,,yoga
phanita therapeutic benefits,herb_benefits,1.0,phanita,,
cleansing concepts,general_info,1.0,,,cleansing
understanding meditation,general_info,1.0,,,meditation
snuhi ksheera for natural healing,herb_benefits,1.0,snuhi ksheera,,
sprains cure,disease_prediction,1.0,,sprains,
shilajit for wellness,herb_benefits,1.0,shilajit,,
herbal medicine for abdominal pain,disease_prediction,1.0,,abdominal pain,
researching shadrasas,general_info,1.0,,,shadrasas
importance of vata,general_info,1.0,,,vata
trimala understanding,general_info,1.0,,,trimala
mild constipation,disease_prediction,1.0,,constipation,
therapeutic value of dhattura,herb_benefits,1.0,dhattura,,
vatsanabha in traditional medicine,herb_benefits,1.0,vatsanabha,,
kantakari benefits,herb_benefits,1.0,kantakari,,
bhadra healing properties,herb_benefits,1.0,bhadra,,
fundamentals of metabolism,general_info,1.0,,,metabolism
medicine for skin rash,disease_prediction,1.0,,skin rash,
fundamentals of natural healing,general_info,1.0,,,natural healing
krimighna vati nutritional benefits,herb_benefits,1.0,krimighna vati,,
traditional cure for eczema,disease_prediction,1.0,,eczema,
information about kaishore guggul,herb_benefits,1.0,kaishore guggul,,
saptadhatu understanding,general_info,1.0,,,saptadhatu
therapeutic effects of elakanadi kashayam,herb_benefits,1.0,elakanadi kashayam,,
ayurveda understanding,general_info,1.0,,,ayurveda
guide to prakriti,general_info,1.0,,,prakriti
natural treatment for wounds,disease_prediction,1.0,,wounds,
how does circulation work,general_info,1.0,,,circulation
metabolism tradition,general_info,1.0,,,metabolism
safe treatment for eye strain,disease_prediction,1.0,,eye strain,
tell me about basti,general_info,1.0,,,basti
shirodhara principles,general_info,1.0,,,shirodhara
medicinal value of murva,herb_benefits,1.0,murva,,
health properties of yakuti rasayana,herb_benefits,1.0,yakuti rasayana,,
symptoms of stress,disease_prediction,1.0,,stress,
define prakriti,general_info,1.0,,,prakriti
health benefits of rasnairandadi kwath,herb_benefits,1.0,rasnairandadi kwath,,
principles of natural healing,general_info,1.0,,,natural healing
ayurveda tradition,general_info,1.0,,,ayurveda
what makes kushmanda avaleha beneficial,herb_benefits,1.0,kushmanda avaleha,,
philosophy of energy,general_info,1.0,,,energy
constant stress,disease_prediction,1.0,,stress,
reducing tinnitus,disease_prediction,1.0,,tinnitus,
principles of panchamahabhutas,general_info,1.0,,,panchamahabhutas
managing depression,disease_prediction,1.0,,depression,
importance of gunas,general_info,1.0,,,gunas
info about gunas,general_info,1.0,,,gunas
I'm experiencing eye strain,disease_prediction,1.0,,eye strain,
overcoming depression,disease_prediction,1.0,,depression,
tell me about akika pishti,herb_benefits,1.0,akika pishti,,
therapeutic value of kachura,herb_benefits,1.0,kachura,,
what are the benefits of plaksha,herb_benefits,1.0,plaksha,,
therapeutic value of bilwadi leha,herb_benefits,1.0,bilwadi leha,,
traditional uses of arka pushpa,herb_benefits,1.0,arka pushpa,,
fundamentals of pranayama,general_info,1.0,,,pranayama
remedy for weakness,disease_prediction,1.0,,weakness,
I'm experiencing dry eyes,disease_prediction,1.0,,dry eyes,
define basti,general_info,1.0,,,basti
shvet musli for health improvement,herb_benefits,1.0,shvet musli,,
researching meditation,general_info,1.0,,,meditation
dealing with nausea,disease_prediction,1.0,,nausea,
therapeutic effects of elakanadi kashayam,herb_benefits,1.0,elakanadi kashayam,,
kantakari for natural healing,herb_benefits,1.0,kantakari,,
bhadra medicinal uses,herb_benefits,1.0,bhadra,,
virya tradition,general_info,1.0,,,virya
medicinal applications of chitraka moola,herb_benefits,1.0,chitraka moola,,
harmony theory,general_info,1.0,,,harmony
saptadhatu theory,general_info,1.0,,,saptadhatu
lata kasturi for health,herb_benefits,1.0,lata kasturi,,
rasnairandadi kwath nutritional benefits,herb_benefits,1.0,rasnairandadi kwath,,
I have morning sickness,disease_prediction,1.0,,morning sickness,
remedy for wounds,disease_prediction,1.0,,wounds,
treatments for motion sickness,disease_prediction,1.0,,motion sickness,
principles of preventive medicine,general_info,1.0,,,preventive medicine
herbal medicine for chronic fatigue,disease_prediction,1.0,,chronic fatigue,
ancient uses of ananta mool,herb_benefits,1.0,ananta mool,,
fundamentals of meditation,general_info,1.0,,,meditation
alternative medicine knowledge,general_info,1.0,,,alternative medicine
malas practice,general_info,1.0,,,malas
health benefits of rasnairandadi kwath,herb_benefits,1.0,rasnairandadi kwath,,
researching dosha,general_info,1.0,,,dosha
therapeutic value of matulunga,herb_benefits,1.0,matulunga,,
kantakari benefits,herb_benefits,1.0,kantakari,,
simhamoola properties,herb_benefits,1.0,simhamoola,,
karpasasthyadi thailam benefits,herb_benefits,1.0,karpasasthyadi thailam,,
what is constitution,general_info,1.0,,,constitution
overview of gunas,general_info,1.0,,,gunas
medicinal applications of chitraka moola,herb_benefits,1.0,chitraka moola,,
how to treat menstrual cramps,disease_prediction,1.0,,menstrual cramps,
therapeutic applications of kanchanara guggulu,herb_benefits,1.0,kanchanara guggulu,,
dosha science,general_info,1.0,,,dosha
how does kharbhuja help,herb_benefits,1.0,kharbhuja,,
I have mood swings,disease_prediction,1.0,,mood swings,
medicine for dandruff,disease_prediction,1.0,,dandruff,
how to use neem,herb_benefits,1.0,neem,,
basti explained,general_info,1.0,,,basti
exploring healthy lifestyle,general_info,1.0,,,healthy lifestyle
what makes meshashringi beneficial,herb_benefits,1.0,meshashringi,,
benefits and uses of matulunga,herb_benefits,1.0,matulunga,,
fundamentals of metabolism,general_info,1.0,,,metabolism
mind-body connection explained,general_info,1.0,,,mind-body connection
safe treatment for morning sickness,disease_prediction,1.0,,morning sickness,
therapeutic applications of saptaparna,herb_benefits,1.0,saptaparna,,
gandharvahastadi kashayam medicinal uses,herb_benefits,1.0,gandharvahastadi kashayam,,
understanding meditation,general_info,1.0,,,meditation
what can nirgundi taila treat,herb_benefits,1.0,nirgundi taila,,
alleviating low energy,disease_prediction,1.0,,low energy,
gandharvahastadi kashayam medicinal uses,herb_benefits,1.0,gandharvahastadi kashayam,,
recovering from hot flashes,disease_prediction,1.0,,hot flashes,
medicinal applications of kovidara,herb_benefits,1.0,kovidara,,
therapeutic applications of varunadi kashayam,herb_benefits,1.0,varunadi kashayam,,
karanja taila for holistic health,herb_benefits,1.0,karanja taila,,
science behind circulation,general_info,1.0,,,circulation
studying alternative medicine,general_info,1.0,,,alternative medicine
ushira for wellness,herb_benefits,1.0,ushira,,
what causes muscle pain,disease_prediction,1.0,,muscle pain,
effective treatments for dandruff,disease_prediction,1.0,,dandruff,
diarrhea treatment,disease_prediction,1.0,,diarrhea,
virya understanding,general_info,1.0,,,virya
dealing with heartburn,disease_prediction,1.0,,heartburn,
suryavarta benefits,herb_benefits,1.0,suryavarta,,
permanent cure for gastritis,disease_prediction,1.0,,gastritis,
what causes bronchitis,disease_prediction,1.0,,bronchitis,
exploring virechana,general_info,1.0,,,virechana
treatment for inflammation,disease_prediction,1.0,,inflammation,
ayurvedic treatment for snoring,disease_prediction,1.0,,snoring,
philosophy of balance,general_info,1.0,,,balance
home remedy for strains,disease_prediction,1.0,,strains,
relief from motion sickness,disease_prediction,1.0,,motion sickness,
what is karnikara good for,herb_benefits,1.0,karnikara,,
how does ojas work,general_info,1.0,,,ojas
non-toxic remedy for cough,disease_prediction,1.0,,cough,
chronic gastritis,disease_prediction,1.0,,gastritis,
sleep apnea symptoms,disease_prediction,1.0,,sleep apnea,
relief from irregular periods,disease_prediction,1.0,,irregular periods,
uses of suranjana,herb_benefits,1.0,suranjana,,
severe burning sensation,disease_prediction,1.0,,burning sensation,
having inflammation,disease_prediction,1.0,,inflammation,
what can nirgundi taila treat,herb_benefits,1.0,nirgundi taila,,
non-toxic remedy for strains,disease_prediction,1.0,,strains,
balance perspective,general_info,1.0,,,balance
intermittent oily skin,disease_prediction,1.0,,oily skin,
vikriti tradition,general_info,1.0,,,vikriti
permanent cure for hot flashes,disease_prediction,1.0,,hot flashes,
mild indigestion,disease_prediction,1.0,,indigestion,
dry eyes symptoms,disease_prediction,1.0,,dry eyes,
studying ayurveda,general_info,1.0,,,ayurveda
safe treatment for indigestion,disease_prediction,1.0,,indigestion,
how to treat vertigo,disease_prediction,1.0,,vertigo,
dealing with concentration issues,disease_prediction,1.0,,concentration issues,
researching yoga,general_info,1.0,,,yoga
lasunadi vati for health,herb_benefits,1.0,lasunadi vati,,
how does circulation work,general_info,1.0,,,circulation
kasis bhasma natural medicine,herb_benefits,1.0,kasis bhasma,,
learning gunas,general_info,1.0,,,gunas
origin of panchakarma,general_info,1.0,,,panchakarma
hearing problems symptoms,disease_prediction,1.0,,hearing problems,
cleansing tradition,general_info,1.0,,,cleansing
history of temperament,general_info,1.0,,,temperament
energy knowledge,general_info,1.0,,,energy
herbal medicine science,general_info,1.0,,,herbal medicine
traditional cure for swelling,disease_prediction,1.0,,swelling,
kasis bhasma natural medicine,herb_benefits,1.0,kasis bhasma,,
yoga understanding,general_info,1.0,,,yoga
medicine for allergies,disease_prediction,1.0,,allergies,
healing strains,disease_prediction,1.0,,strains,
health benefits of jalavetasa,herb_benefits,1.0,jalavetasa,,
mastu wellness benefits,herb_benefits,1.0,mastu,,
benefits of natural healing,general_info,1.0,,,natural healing
learning immunity,general_info,1.0,,,immunity
nutrition theory,general_info,1.0,,,nutrition
what are the principles of holistic health,general_info,1.0,,,holistic health
medicinal value of nirgundi,herb_benefits,1.0,nirgundi,,
effective treatment for insomnia,disease_prediction,1.0,,insomnia,
what causes sore throat,disease_prediction,1.0,,sore throat,
neelam pishti medicinal uses,herb_benefits,1.0,neelam pishti,,
basics of vikriti,general_info,1.0,,,vikriti
danti uses,herb_benefits,1.0,danti,,
permanent cure for gastritis,disease_prediction,1.0,,gastritis,
ushira for wellness,herb_benefits,1.0,ushira,,
fundamentals of harmony,general_info,1.0,,,harmony
pitta art,general_info,1.0,,,pitta
krimi kuthar rasa for health,herb_benefits,1.0,krimi kuthar rasa,,
how to treat muscle pain,disease_prediction,1.0,,muscle pain,
what is prakriti,general_info,1.0,,,prakriti
preventing sinusitis,disease_prediction,1.0,,sinusitis,
natural cure for memory problems,disease_prediction,1.0,,memory problems,
therapeutic applications of narikela jala,herb_benefits,1.0,narikela jala,,
shara medicinal uses,herb_benefits,1.0,shara,,
importance of ojas,general_info,1.0,,,ojas
treatment for morning sickness,disease_prediction,1.0,,morning sickness,
what causes muscle pain,disease_prediction,1.0,,muscle pain,
what is wellness,general_info,1.0,,,wellness
exploring healthy lifestyle,general_info,1.0,,,healthy lifestyle
discovering trimala,general_info,1.0,,,trimala
why use makoy,herb_benefits,1.0,makoy,,
therapeutic effects of somaraji taila,herb_benefits,1.0,somaraji taila,,
understanding digestion,general_info,1.0,,,digestion
managing chest pain,disease_prediction,1.0,,chest pain,
krimighna vati nutritional benefits,herb_benefits,1.0,krimighna vati,,
sukumara kashayam therapeutic benefits,herb_benefits,1.0,sukumara kashayam,,
khadiradi vati medicinal uses,herb_benefits,1.0,khadiradi vati,,
sneezing cure,disease_prediction,1.0,,sneezing,
mild chronic fatigue,disease_prediction,1.0,,chronic fatigue,
chandana properties,herb_benefits,1.0,chandana,,
I'm experiencing dry eyes,disease_prediction,1.0,,dry eyes,
examining panchamahabhutas,general_info,1.0,,,panchamahabhutas
irimedadi taila nutritional benefits,herb_benefits,1.0,irimedadi taila,,
alleviating heartburn,disease_prediction,1.0,,heartburn,
mild vertigo,disease_prediction,1.0,,vertigo,
importance of basti,general_info,1.0,,,basti
best medicine for diabetes,disease_prediction,1.0,,diabetes,
traditional medicine viewpoint,general_info,1.0,,,traditional medicine
want to know about saptadhatu,general_info,1.0,,,saptadhatu
eranda taila medicinal uses,herb_benefits,1.0,eranda taila,,
benefits of ojas,general_info,1.0,,,ojas
information about wellness,general_info,1.0,,,wellness
basics of virechana,general_info,1.0,,,virechana
alternative medicine for sinusitis,disease_prediction,1.0,,sinusitis,
prapunnada natural medicine,herb_benefits,1.0,prapunnada,,
dealing with blurred vision,disease_prediction,1.0,,blurred vision,
traditional uses of arka pushpa,herb_benefits,1.0,arka pushpa,,
exploring dhatus,general_info,1.0,,,dhatus
sudden hair loss,disease_prediction,1.0,,hair loss,
chronic mood swings,disease_prediction,1.0,,mood swings,
agni philosophy,general_info,1.0,,,agni
pranayama philosophy,general_info,1.0,,,pranayama
digestion fundamentals,general_info,1.0,,,digestion
ayurvedic treatment for dandruff,disease_prediction,1.0,,dandruff,
examining healthy lifestyle,general_info,1.0,,,healthy lifestyle
recurring brain fog,disease_prediction,1.0,,brain fog,
mild abdominal pain,disease_prediction,1.0,,abdominal pain,
fundamentals of body type,general_info,1.0,,,body type
diagnosis of inflammation,disease_prediction,1.0,,inflammation,
cleansing system,general_info,1.0,,,cleansing
understand vata,general_info,1.0,,,vata
I'm suffering from night sweats,disease_prediction,1.0,,night sweats,
trimala methodology,general_info,1.0,,,trimala
kanmad bhasma nutritional benefits,herb_benefits,1.0,kanmad bhasma,,
investigating virechana,general_info,1.0,,,virechana
what makes madhukarkati beneficial,herb_benefits,1.0,madhukarkati,,
information about utingana,herb_benefits,1.0,utingana,,
significance of holistic health,general_info,1.0,,,holistic health
fundamentals of balance,general_info,1.0,,,balance
bibhitaki wellness benefits,herb_benefits,1.0,bibhitaki,,
what's panchavalkala kwath good for,herb_benefits,1.0,panchavalkala kwath,,
history of circulation,general_info,1.0,,,circulation
dealing with hot flashes,disease_prediction,1.0,,hot flashes,
what causes muscle pain,disease_prediction,1.0,,muscle pain,
safe treatment for hair loss,disease_prediction,1.0,,hair loss,
eranda patra for health,herb_benefits,1.0,eranda patra,,
what makes swarnapatri beneficial,herb_benefits,1.0,swarnapatri,,
home remedy for hair loss,disease_prediction,1.0,,hair loss,
natural treatment for bruising,disease_prediction,1.0,,bruising,
detoxification system,general_info,1.0,,,detoxification
benefits of metabolism,general_info,1.0,,,metabolism
uses of mahatiktaka ghrita,herb_benefits,1.0,mahatiktaka ghrita,,
benefits of gunas,general_info,1.0,,,gunas
harmony viewpoint,general_info,1.0,,,harmony
traditional applications of phala ghrita,herb_benefits,1.0,phala ghrita,,
healing burns,disease_prediction,1.0,,burns,
ojas science,general_info,1.0,,,ojas
what does vaiswanara churna do,herb_benefits,1.0,vaiswanara churna,,
overcoming headache,disease_prediction,1.0,,headache,
sukumara kashayam therapeutic benefits,herb_benefits,1.0,sukumara kashayam,,
triphala guggulu in herbal medicine,herb_benefits,1.0,triphala guggulu,,
immunity art,general_info,1.0,,,immunity
khadira in traditional medicine,herb_benefits,1.0,khadira,,
healing bronchitis,disease_prediction,1.0,,bronchitis,
shirodhara theory,general_info,1.0,,,shirodhara
medicinal properties of aja dugdha,herb_benefits,1.0,aja dugdha,,
properties of gandhak rasayan,herb_benefits,1.0,gandhak rasayan,,
mild sore throat,disease_prediction,1.0,,sore throat,
what is prana,general_info,1.0,,,prana
benefits of virechana,general_info,1.0,,,virechana
I feel headache,disease_prediction,1.0,,headache,
uses of priyangu,herb_benefits,1.0,priyangu,,
understanding ayurveda,general_info,1.0,,,ayurveda
mild menstrual cramps,disease_prediction,1.0,,menstrual cramps,
understanding cleansing,general_info,1.0,,,cleansing
health benefits of mahishi dugdha,herb_benefits,1.0,mahishi dugdha,,
philosophy of energy,general_info,1.0,,,energy
investigating prana,general_info,1.0,,,prana
sudden chest pain,disease_prediction,1.0,,chest pain,
relief from runny nose,disease_prediction,1.0,,runny nose,
krimighna vati nutritional benefits,herb_benefits,1.0,krimighna vati,,
natural cures for motion sickness,disease_prediction,1.0,,motion sickness,
tell me about hapusa,herb_benefits,1.0,hapusa,,
herbal properties of tila taila,herb_benefits,1.0,tila taila,,
explain alternative medicine,general_info,1.0,,,alternative medicine
permanent cure for hot flashes,disease_prediction,1.0,,hot flashes,
properties of shvet musli,herb_benefits,1.0,shvet musli,,
yavani natural medicine,herb_benefits,1.0,yavani,,
what is herbal medicine,general_info,1.0,,,herbal medicine
why use varahikanda,herb_benefits,1.0,varahikanda,,
investigating ama,general_info,1.0,,,ama
trimala theory,general_info,1.0,,,trimala
natural cure for memory problems,disease_prediction,1.0,,memory problems,
learning holistic health,general_info,1.0,,,holistic health
science behind agni,general_info,1.0,,,agni
help with eczema,disease_prediction,1.0,,eczema,
importance of harmony,general_info,1.0,,,harmony
somaraji taila nutritional benefits,herb_benefits,1.0,somaraji taila,,
what is constitution,general_info,1.0,,,constitution
having inflammation,disease_prediction,1.0,,inflammation,
what is constitution,general_info,1.0,,,constitution
persistent asthma,disease_prediction,1.0,,asthma,
health advantages of jalavetasa,herb_benefits,1.0,jalavetasa,,
properties of madanaphala,herb_benefits,1.0,madanaphala,,
healthy lifestyle viewpoint,general_info,1.0,,,healthy lifestyle
virechana wisdom,general_info,1.0,,,virechana
sudden diabetes,disease_prediction,1.0,,diabetes,
inflammation treatment,disease_prediction,1.0,,inflammation,
persistent hot flashes,disease_prediction,1.0,,hot flashes,
tell me about pradarantak lauh,herb_benefits,1.0,pradarantak lauh,,
detoxification theory,general_info,1.0,,,detoxification
principles of tridosha,general_info,1.0,,,tridosha
malas methodology,general_info,1.0,,,malas
benefits and applications of kushmanda avaleha,herb_benefits,1.0,kushmanda avaleha,,
tell me about tinospora,herb_benefits,1.0,tinospora,,
bacopa for natural treatment,herb_benefits,1.0,bacopa,,
natural healing basics,general_info,1.0,,,natural healing
what does kasheruka do,herb_benefits,1.0,kasheruka,,
what're the benefits of rohitakarishta,herb_benefits,1.0,rohitakarishta,,
quick relief from diabetes,disease_prediction,1.0,,diabetes,
cure for restless legs,disease_prediction,1.0,,restless legs,
